YEAR,OPID,OTT 서비스 주중 이용 시간(분 기준 환산),OTT 서비스 주말 이용 시간(분 기준 환산)
2021,101800001,30,60
2021,101800002,30,60
2021,101800003,60,60
2021,101810001,40,60
2021,101810002,60,60
2021,101810003,60,90
2021,101820001,10,10
2021,101820002,20,50
2021,101830001,,
2021,101830002,20,20
2021,101840001,,
2021,101840003,10,10
2021,101850001,90,30
2021,101850002,30,30
2021,101860002,10,10
2021,101860003,30,60
2021,101870001,60,60
2021,101870002,60,30
2021,101870003,90,150
2021,101870004,60,120
2021,101880001,,
2021,101880002,30,15
2021,101880003,20,30
2021,101890001,5,15
2021,101890002,10,10
2021,101890003,10,15
2021,101900001,30,90
2021,101900002,30,30
2021,101900003,90,150
2021,101900004,60,90
2021,10190001,,
2021,10190002,,
2021,101910001,30,30
2021,101910002,30,30
2021,101910003,30,30
2021,101920001,30,30
2021,101920002,,
2021,101920003,30,30
2021,101930001,30,30
2021,101930002,20,20
2021,101930003,,
2021,101930004,,
2021,101940001,30,30
2021,101940002,30,30
2021,101950001,30,30
2021,101950002,30,30
2021,101950003,,
2021,101950004,,
2021,101960001,,
2021,101970001,,
2021,101970002,,
2021,101980001,30,30
2021,101980002,60,30
2021,101980003,30,50
2021,101980004,30,60
2021,101990001,,
2021,102000001,60,60
2021,1020002,15,15
2021,1020003,15,15
2021,102010001,30,30
2021,102010002,30,30
2021,102020001,30,30
2021,102020002,10,10
2021,102020003,30,60
2021,102030001,30,40
2021,102030002,30,30
2021,102030003,,
2021,102040001,30,60
2021,102040002,30,30
2021,102050001,30,30
2021,102050002,20,20
2021,102060001,,
2021,102060002,30,30
2021,102070001,30,50
2021,102070002,30,30
2021,102070003,30,40
2021,102070004,,
2021,102070005,,
2021,102080001,30,30
2021,102080002,30,30
2021,102080003,,
2021,102080004,,
2021,102090001,30,40
2021,102090002,30,40
2021,102090003,,
2021,102100001,30,40
2021,102100002,30,30
2021,102100003,40,50
2021,102100004,30,30
2021,10210001,20,20
2021,102110001,30,30
2021,102110002,30,30
2021,102120001,30,30
2021,102120002,,
2021,102130001,,
2021,102130002,20,20
2021,102140001,30,30
2021,102140002,20,20
2021,102150001,,
2021,102150002,,
2021,102150003,40,90
2021,102150004,40,90
2021,10220001,,
2021,10220002,10,5
2021,10220003,10,5
2021,102300001,,
2021,102300002,,
2021,10230001,0,10
2021,10230002,5,0
2021,10230003,10,30
2021,102310001,,
2021,102320001,,
2021,102320002,,
2021,102330001,30,30
2021,102330002,5,5
2021,102340001,30,0
2021,102340002,,
2021,102350001,10,10
2021,102360001,30,30
2021,102360002,,
2021,102370001,,
2021,102370002,5,10
2021,102380001,,
2021,102380002,,
2021,102390001,,
2021,102390002,,
2021,10240001,30,30
2021,10240002,60,30
2021,10240003,30,180
2021,10240004,60,210
2021,102420001,,
2021,102420002,,
2021,102430001,,
2021,102440001,,
2021,102450001,,
2021,102450002,,
2021,102460001,,
2021,102470001,30,30
2021,102470002,,
2021,102480001,30,30
2021,102480002,10,10
2021,102480003,30,30
2021,102490001,30,30
2021,102500001,10,10
2021,102500002,30,30
2021,10250001,,
2021,10250002,,
2021,102510001,10,10
2021,102510002,10,10
2021,102540001,,
2021,102540002,5,5
2021,102560001,5,10
2021,102560002,5,10
2021,102570001,5,5
2021,102570002,5,10
2021,102580001,,
2021,102580002,,
2021,102590001,10,30
2021,102590002,10,10
2021,102600003,180,180
2021,10260001,,
2021,10260002,20,20
2021,102610001,,
2021,102610002,5,10
2021,102620001,,
2021,102620002,,
2021,102630001,,
2021,102630002,,
2021,102640001,,
2021,102640002,,
2021,102660001,,
2021,102660002,,
2021,102670001,,
2021,102670002,,
2021,102680001,,
2021,102690001,10,10
2021,10270001,,
2021,10270002,,
2021,102720001,,
2021,102720002,,
2021,102730002,10,20
2021,102730003,10,20
2021,102750001,,
2021,102750002,,
2021,102760001,,
2021,102760002,,
2021,102780001,0,10
2021,102790001,,
2021,102800001,,
2021,102800002,,
2021,10280002,6,15
2021,102810001,0,10
2021,102810002,,
2021,102820001,,
2021,102820002,,
2021,102830001,,
2021,102830002,,
2021,102840001,,
2021,102840002,,
2021,102850001,,
2021,102850002,30,30
2021,102860001,30,60
2021,102860002,10,30
2021,102870001,50,90
2021,102870002,30,30
2021,102880001,30,30
2021,102880002,60,60
2021,102900001,10,10
2021,102900002,10,10
2021,10290001,20,20
2021,10290002,40,40
2021,102910001,10,10
2021,102920001,,
2021,102920002,5,0
2021,102930001,,
2021,102930002,10,0
2021,102940001,,
2021,102940002,10,10
2021,102950001,10,10
2021,102960001,20,20
2021,102970001,,
2021,10300001,60,60
2021,1030001,10,10
2021,1030002,20,20
2021,10310001,,
2021,10310002,,
2021,10320001,,
2021,10320002,20,60
2021,10320003,,
2021,10320004,60,60
2021,10320005,,
2021,10330001,60,60
2021,10330002,60,60
2021,10330003,90,120
2021,10330004,60,120
2021,103390001,10,10
2021,103390002,8,5
2021,103390003,240,300
2021,103390004,,
2021,103400001,10,10
2021,103400002,10,10
2021,103410001,10,10
2021,103410002,10,20
2021,103410003,300,180
2021,103410004,15,15
2021,103420001,,
2021,103420002,90,90
2021,103420003,180,180
2021,103420004,,
2021,103420005,,
2021,103430001,,
2021,103430002,,
2021,103430003,30,30
2021,103430004,30,30
2021,103440001,,
2021,103440002,,
2021,103440003,30,30
2021,103450001,,
2021,103450002,,
2021,103450003,20,10
2021,103450004,30,60
2021,103460001,,
2021,103460002,10,10
2021,103470001,,
2021,103470002,,
2021,103470003,10,20
2021,103470004,20,20
2021,10350002,90,90
2021,103540001,30,60
2021,103540002,,
2021,103560001,180,180
2021,103560002,30,30
2021,103560003,70,80
2021,103560004,20,30
2021,103570001,,
2021,103570002,15,30
2021,103570003,,
2021,103580001,30,30
2021,103580002,90,120
2021,103580003,,
2021,103580004,,
2021,103580005,,
2021,103580006,,
2021,103590001,10,5
2021,103590002,40,40
2021,103590003,60,120
2021,103590004,60,60
2021,103600001,10,0
2021,103600002,30,90
2021,103600003,,
2021,10360001,60,30
2021,10360003,60,60
2021,103610001,30,30
2021,103610002,20,30
2021,103610003,20,40
2021,103620001,,
2021,103620002,,
2021,103620003,20,10
2021,103620004,10,5
2021,103620005,,
2021,103630001,60,60
2021,103630002,30,30
2021,103660001,0,1
2021,103660002,10,20
2021,103660003,,
2021,103670001,10,10
2021,103670002,10,10
2021,103680001,10,10
2021,103680002,10,5
2021,103700001,10,10
2021,103700002,10,10
2021,10370001,30,30
2021,10370002,60,60
2021,103710001,10,5
2021,103710002,10,0
2021,103710003,10,10
2021,103710004,,
2021,103720001,10,5
2021,103720002,10,5
2021,103720003,10,10
2021,103720004,20,10
2021,103730001,10,10
2021,103730002,10,5
2021,103740001,10,10
2021,103740002,10,10
2021,103750001,10,5
2021,103750002,20,0
2021,103750003,10,5
2021,103750004,20,5
2021,103760001,,
2021,103760002,,
2021,103840001,,
2021,103840002,,
2021,103840003,30,60
2021,103840004,120,180
2021,103840005,60,120
2021,103850001,,
2021,103850002,,
2021,103850003,60,150
2021,103850004,60,150
2021,103860001,,
2021,103870001,,
2021,103870002,,
2021,103880001,,
2021,103880002,,
2021,103890001,,
2021,103890002,120,120
2021,103900001,,
2021,10390001,10,10
2021,10390002,,
2021,103910001,,
2021,103910002,,
2021,103910003,60,120
2021,103910004,120,30
2021,10400001,,
2021,1040001,20,60
2021,1040002,20,40
2021,1040003,90,90
2021,10410001,,
2021,10410002,,
2021,10410101,90,150
2021,10410102,180,180
2021,104130001,10,10
2021,104130002,10,10
2021,104130003,30,0
2021,104130004,10,20
2021,104140001,,
2021,104140002,10,10
2021,104140003,30,60
2021,104140004,120,180
2021,104150001,60,60
2021,104150002,180,180
2021,104150003,60,120
2021,104150004,90,120
2021,104160001,,
2021,104170001,10,10
2021,104170002,6,10
2021,104170003,77,180
2021,104170004,,
2021,104180001,,
2021,104180002,30,0
2021,104180003,20,20
2021,104190001,60,180
2021,104210002,,
2021,104220001,,
2021,104220002,330,330
2021,104220003,60,120
2021,104220102,120,120
2021,104230001,25,40
2021,104230002,20,5
2021,104230003,120,120
2021,104230004,180,180
2021,104240001,,
2021,104240002,,
2021,104240003,,
2021,104250001,,
2021,104250002,,
2021,104250003,120,120
2021,104250004,,
2021,104270001,,
2021,104270002,,
2021,104270003,,
2021,104270004,,
2021,104280002,,
2021,104280101,120,120
2021,104280102,480,600
2021,104290001,10,10
2021,104290002,,
2021,104290003,30,30
2021,104300001,3,3
2021,104300002,2,0
2021,104300003,30,30
2021,104460001,,
2021,104460002,,
2021,104460003,30,30
2021,104460004,,
2021,104470001,,
2021,104470002,20,30
2021,104480001,90,120
2021,104480002,,
2021,104490001,,
2021,104490002,120,60
2021,104500001,,
2021,104500002,,
2021,104500003,30,30
2021,104500004,10,30
2021,10450001,,
2021,10450002,,
2021,10450003,,
2021,104510001,120,90
2021,104510002,,
2021,104510003,,
2021,104540001,,
2021,104540002,,
2021,104550001,60,90
2021,104550002,120,180
2021,104550003,190,270
2021,104550004,90,210
2021,104560001,,
2021,104560002,130,190
2021,104560003,80,200
2021,104560004,120,180
2021,104670001,120,120
2021,104670002,,
2021,104670004,10,5
2021,104670101,,
2021,104670102,,
2021,104680001,10,10
2021,104680002,,
2021,104690001,,
2021,104690002,,
2021,104690004,,
2021,104690101,,
2021,104700001,240,360
2021,10470001,,
2021,104700101,360,480
2021,104710001,30,30
2021,104710002,,
2021,104710003,60,60
2021,104710004,120,180
2021,104720001,5,20
2021,104720002,5,5
2021,104720003,30,5
2021,104720004,10,10
2021,104720005,,
2021,104730001,30,30
2021,104730002,,
2021,104730003,10,10
2021,104730004,480,600
2021,104740001,10,30
2021,104740002,,
2021,104750001,,
2021,104750002,,
2021,104750003,,
2021,104760001,,
2021,104760002,,
2021,104760003,180,240
2021,104760004,120,240
2021,104770001,,
2021,104780001,,
2021,104780002,,
2021,104780003,60,120
2021,104780004,60,120
2021,104790001,20,20
2021,104790002,30,10
2021,104790003,,
2021,104790004,,
2021,104800001,,
2021,104800002,,
2021,104800003,,
2021,10480001,,
2021,10480002,,
2021,10480003,30,30
2021,10480004,30,40
2021,104810001,,
2021,104810002,60,150
2021,104810003,,
2021,104820001,30,30
2021,104820002,20,20
2021,104820003,,
2021,104820004,,
2021,104830001,10,10
2021,104830002,,
2021,104830003,30,0
2021,104840001,180,180
2021,104840002,180,300
2021,104850001,,
2021,104850002,,
2021,104850003,,
2021,104850004,,
2021,104860001,,
2021,104860003,120,120
2021,104860004,,
2021,104860101,,
2021,104860102,180,480
2021,104870001,5,5
2021,104870002,,
2021,104870003,,
2021,104870004,,
2021,104880001,,
2021,104880002,,
2021,104880003,30,60
2021,104890001,,
2021,104890002,0,5
2021,104890003,10,10
2021,104900001,,
2021,104900002,60,30
2021,104900003,5,5
2021,104900004,,
2021,10490001,40,30
2021,10490002,,
2021,10490003,40,50
2021,10490004,,
2021,104910001,,
2021,104910002,,
2021,104910003,5,20
2021,104920001,,
2021,104920002,60,60
2021,104920003,,
2021,104920004,,
2021,104930001,,
2021,104930002,0,10
2021,104930003,,
2021,104930004,,
2021,104940001,30,60
2021,104940002,,
2021,104940003,,
2021,104950001,,
2021,104950002,,
2021,104950003,,
2021,104960001,,
2021,104960002,,
2021,104960003,,
2021,104960004,,
2021,104970001,50,30
2021,104970002,90,120
2021,104970003,,
2021,104980001,10,10
2021,104980002,30,30
2021,104980003,10,10
2021,104980004,,
2021,104990001,,
2021,104990002,50,50
2021,104990003,120,120
2021,104990004,120,120
2021,105020001,10,10
2021,105020002,30,30
2021,105020003,30,30
2021,105030001,10,10
2021,105030002,10,10
2021,105030003,30,30
2021,105040001,,
2021,105040002,,
2021,105050001,,
2021,105050002,,
2021,105060001,,
2021,105060002,20,20
2021,105070001,10,10
2021,105070002,10,10
2021,105070003,30,30
2021,105080001,,
2021,105080002,10,30
2021,105080003,,
2021,105090001,5,5
2021,105090002,30,30
2021,105100001,10,10
2021,105100002,30,30
2021,105100003,35,35
2021,105110001,,
2021,105110002,10,10
2021,105120001,,
2021,105120002,10,10
2021,105120003,10,10
2021,105120004,30,30
2021,105130001,30,30
2021,105130002,30,30
2021,105130003,60,60
2021,105140001,,
2021,105140002,,
2021,105140003,20,20
2021,105150001,,
2021,105150002,,
2021,105150003,,
2021,105160001,,
2021,105160002,20,20
2021,105170001,,
2021,105170002,,
2021,105170003,40,30
2021,105180001,20,30
2021,105180002,10,20
2021,105190001,,
2021,105190002,,
2021,105190003,,
2021,105190004,30,30
2021,105200001,,
2021,105210001,,
2021,105210002,,
2021,105210003,,
2021,105210004,,
2021,105220001,,
2021,105220002,,
2021,105220003,,
2021,105230001,,
2021,105230002,,
2021,105230003,,
2021,105250001,,
2021,105250002,,
2021,105250003,30,30
2021,105260001,,
2021,105260002,,
2021,105260003,30,30
2021,105270001,,
2021,105270002,10,20
2021,105270003,10,30
2021,105270004,,
2021,105280001,,
2021,105280002,,
2021,105290001,,
2021,10530001,,
2021,10530002,,
2021,10530003,,
2021,105310001,,
2021,105320001,10,10
2021,105320002,10,20
2021,105320003,20,30
2021,105330001,20,30
2021,105330002,,
2021,105340001,60,30
2021,105340002,30,30
2021,105340003,30,60
2021,105340004,60,30
2021,105390001,,
2021,105390002,90,90
2021,105390003,180,150
2021,10540001,10,20
2021,10540002,30,60
2021,105430001,,
2021,105440001,10,20
2021,105440002,10,20
2021,105440003,,
2021,105440004,,
2021,105450001,,
2021,105450002,,
2021,105450003,,
2021,105450004,,
2021,105460001,,
2021,105470001,30,30
2021,105470002,,
2021,105470003,,
2021,105480001,20,30
2021,105480002,30,30
2021,105490001,,
2021,105490002,,
2021,105500001,,
2021,105500002,,
2021,10550001,10,30
2021,10550002,10,20
2021,10550003,30,50
2021,10550004,30,30
2021,10550005,,
2021,105510001,,
2021,105510002,,
2021,105510003,120,180
2021,105530001,30,30
2021,105530002,30,30
2021,105540001,30,30
2021,105540002,40,30
2021,105550001,,
2021,105550002,,
2021,105560001,30,20
2021,105560002,20,0
2021,105570001,20,20
2021,105570002,30,20
2021,105580001,,
2021,105580002,,
2021,105590001,,
2021,105590002,,
2021,105590003,10,10
2021,105590004,,
2021,105600001,,
2021,105600002,,
2021,105600004,,
2021,10560001,,
2021,10560002,,
2021,10560003,10,20
2021,105610001,,
2021,105620001,30,10
2021,105620002,20,0
2021,105630001,,
2021,105630002,,
2021,105630003,,
2021,10570001,,
2021,10570002,,
2021,10570004,30,30
2021,10580001,,
2021,10580002,,
2021,10580003,,
2021,10580004,30,60
2021,10600001,,
2021,10600002,30,50
2021,1060001,,
2021,1060002,,
2021,10610001,,
2021,10610002,,
2021,106150001,,
2021,106150002,30,30
2021,106150003,60,60
2021,106160001,0,5
2021,106160002,5,5
2021,106160003,20,30
2021,106160004,20,30
2021,106170001,,
2021,106170002,,
2021,106180001,,
2021,106180002,,
2021,106190001,,
2021,106200001,,
2021,106200002,,
2021,10620001,,
2021,10620002,10,20
2021,106210001,,
2021,106220001,,
2021,106220002,20,30
2021,106230001,,
2021,106230002,,
2021,106240001,,
2021,106240002,,
2021,106240003,10,10
2021,106250001,,
2021,106250002,,
2021,106250003,20,20
2021,106260001,,
2021,106260002,,
2021,106270001,,
2021,106270002,,
2021,106270003,,
2021,106280001,,
2021,106280002,,
2021,106280003,20,20
2021,106290001,,
2021,106290002,5,5
2021,106300001,,
2021,106300002,,
2021,106300003,,
2021,10630001,,
2021,10630002,60,60
2021,106310001,,
2021,106320001,,
2021,106320002,20,30
2021,106330001,20,10
2021,106330002,,
2021,106330003,,
2021,106340001,,
2021,106340002,5,5
2021,106350001,10,10
2021,106350002,10,10
2021,106360001,20,30
2021,106360002,30,20
2021,106360003,,
2021,106360004,,
2021,106370001,,
2021,106370002,20,30
2021,106370003,60,60
2021,106380001,,
2021,106380002,,
2021,106380003,20,30
2021,106390001,30,20
2021,106390002,30,20
2021,106390003,,
2021,106390004,,
2021,106400001,50,40
2021,106400002,30,30
2021,106400003,30,40
2021,106400004,80,50
2021,106410001,20,20
2021,106410002,20,10
2021,10650001,60,120
2021,10650002,60,60
2021,10650003,,
2021,10650004,,
2021,10660001,10,20
2021,10660002,150,150
2021,10660003,90,150
2021,106650001,30,30
2021,106650002,15,30
2021,106660001,30,30
2021,106660002,10,10
2021,106660003,,
2021,106670001,5,5
2021,106670002,10,10
2021,106670003,60,60
2021,106680001,,
2021,106680002,,
2021,106690001,30,30
2021,106690002,10,10
2021,106690003,30,30
2021,106700001,10,10
2021,106700002,10,30
2021,10670001,,
2021,10670002,,
2021,10670003,120,0
2021,10670004,60,60
2021,10670005,60,120
2021,106710001,60,120
2021,106710002,10,20
2021,106720001,30,30
2021,106720002,60,120
2021,106730002,30,30
2021,106730003,30,30
2021,106730004,30,30
2021,106740001,60,90
2021,106740002,60,60
2021,106740003,60,60
2021,106740004,300,420
2021,106750001,5,5
2021,106750002,5,5
2021,106760001,,
2021,106760002,,
2021,106780001,5,5
2021,106780002,5,5
2021,106790001,5,5
2021,106790002,,
2021,106800001,2,2
2021,106800002,5,5
2021,10680001,30,120
2021,10680002,20,0
2021,10680003,90,120
2021,10680004,60,60
2021,106810001,5,5
2021,106810002,10,5
2021,106820001,,
2021,106830001,10,20
2021,106850001,20,20
2021,106860001,30,30
2021,106870001,20,20
2021,106880001,10,10
2021,106890001,10,10
2021,106890002,10,10
2021,106890003,20,20
2021,106890004,,
2021,106900001,10,10
2021,10690002,40,40
2021,10690003,60,60
2021,10690004,30,30
2021,106910001,30,30
2021,106920001,30,30
2021,106930001,15,15
2021,106950001,,
2021,106960001,,
2021,106960002,,
2021,106980001,,
2021,106980002,10,10
2021,106990001,,
2021,106990002,10,30
2021,107000001,,
2021,107000002,,
2021,10700001,,
2021,10700002,,
2021,1070001,,
2021,1070002,,
2021,107010001,10,10
2021,107010002,10,20
2021,107020001,5,10
2021,107030001,30,30
2021,107030002,5,5
2021,107030004,30,60
2021,107030101,30,30
2021,107040001,20,20
2021,107040002,30,30
2021,107050001,30,30
2021,107050002,10,20
2021,107050003,30,60
2021,107050004,30,30
2021,107060001,20,20
2021,107060002,10,10
2021,107060003,30,30
2021,107060004,30,40
2021,107070001,20,20
2021,107070002,20,20
2021,107070003,20,20
2021,107080001,,
2021,107080002,,
2021,107090001,,
2021,107090002,,
2021,107100001,,
2021,107100002,,
2021,10710001,,
2021,107110001,10,20
2021,107110002,10,10
2021,107110003,30,40
2021,107120001,20,20
2021,107120002,10,10
2021,10720001,,
2021,10720002,150,150
2021,10720003,,
2021,10720004,90,150
2021,10730001,20,60
2021,10730002,30,30
2021,10730003,,
2021,10740001,60,120
2021,10740002,60,60
2021,10740003,,
2021,10750001,60,90
2021,10750002,20,30
2021,10750003,60,60
2021,10750004,30,30
2021,107540001,,
2021,107540002,,
2021,107550001,30,30
2021,107550002,30,30
2021,107560001,,
2021,107560002,,
2021,107560003,10,10
2021,107570001,,
2021,107570002,10,10
2021,107580001,,
2021,107580002,30,30
2021,107590001,10,10
2021,107590002,20,30
2021,10760001,10,10
2021,10760002,3,5
2021,10760004,60,60
2021,10760005,,
2021,107610001,0,20
2021,107610002,30,60
2021,107620001,,
2021,107620002,30,60
2021,107620003,30,30
2021,107630001,,
2021,107660001,10,10
2021,107670001,20,20
2021,107670002,30,30
2021,107670003,20,30
2021,107700001,20,20
2021,107700002,10,10
2021,107700003,20,20
2021,107700004,20,20
2021,107710001,20,20
2021,107710002,10,20
2021,107730001,5,5
2021,107730002,30,30
2021,107730003,10,20
2021,107740001,,
2021,107750001,,
2021,107750002,,
2021,107780002,,
2021,107790001,,
2021,107800002,,
2021,10780001,,
2021,10780002,60,60
2021,107810001,,
2021,107820001,15,20
2021,107830001,,
2021,107840001,15,20
2021,107850001,,
2021,107860001,,
2021,107870001,,
2021,107900001,10,10
2021,10790001,10,0
2021,10790002,,
2021,10790004,3,0
2021,107910001,,
2021,107920001,15,20
2021,107920002,,
2021,107930001,,
2021,107940002,10,10
2021,107950001,,
2021,107960003,5,10
2021,107990002,5,0
2021,108000001,,
2021,10800001,,
2021,1080002,30,30
2021,108010001,10,10
2021,108010002,10,10
2021,10810002,,
2021,10820001,,
2021,108240001,,
2021,108240002,,
2021,108250001,20,20
2021,108250002,10,10
2021,108280001,15,15
2021,108280002,10,10
2021,108290001,10,10
2021,108290002,10,10
2021,108300001,10,10
2021,108300002,20,20
2021,10830001,,
2021,10830002,,
2021,10830003,,
2021,10830004,,
2021,108320001,180,360
2021,108330001,120,180
2021,108340001,120,180
2021,108340002,30,30
2021,108350001,180,240
2021,108360001,270,180
2021,108380001,,
2021,108390001,,
2021,108420001,,
2021,108430001,,
2021,108440002,,
2021,108450001,10,10
2021,108450002,,
2021,108470001,,
2021,108470002,,
2021,108480001,20,30
2021,108480002,,
2021,108490001,30,30
2021,108500001,30,30
2021,10850001,90,120
2021,10850002,120,60
2021,10850003,90,120
2021,10850004,150,180
2021,10850005,90,120
2021,108510001,,
2021,10860001,0,50
2021,10860002,30,30
2021,10860003,60,90
2021,10870001,,
2021,10870002,40,40
2021,10870003,60,60
2021,108730001,30,90
2021,108730002,30,90
2021,108750001,,
2021,108750002,,
2021,108750003,30,80
2021,108750004,30,60
2021,108800001,,
2021,108800003,60,60
2021,108810001,30,30
2021,108810002,10,20
2021,108840001,30,30
2021,108840002,30,30
2021,108850001,,
2021,108850002,10,10
2021,10900001,60,60
2021,10900003,60,60
2021,10900004,10,30
2021,10900005,,
2021,1090001,,
2021,1090002,20,20
2021,109020001,30,30
2021,109020002,30,60
2021,109020003,60,120
2021,109030001,30,60
2021,109030002,30,60
2021,109030003,60,180
2021,109030004,30,90
2021,109040001,5,10
2021,109040002,80,30
2021,109040003,60,60
2021,109040004,30,60
2021,109050001,60,90
2021,109050002,30,70
2021,109050003,,
2021,109060001,,
2021,109060002,,
2021,109070001,20,20
2021,109070002,20,20
2021,109080001,,
2021,109080002,,
2021,109080003,40,40
2021,109080004,10,10
2021,109090001,,
2021,109090002,60,10
2021,109090003,10,10
2021,109090004,330,330
2021,109100001,,
