gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),106.28,4862.7,0
Male,0,Yes,No,12,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,93.42,1109.19,1
Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),99.69,5437.87,0
Male,0,No,Yes,51,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,No,Mailed check,22.99,1137.05,1
Male,0,Yes,No,25,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,41.92,1044.82,1
Male,0,Yes,Yes,4,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),81.43,361.12,0
Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,105.53,7362.75,1
Female,0,Yes,Yes,32,Yes,No,No,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Mailed check,18.46,557.95,0
Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),70.49,4589.24,0
Female,0,No,Yes,49,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),87.08,4113.25,0
Male,0,No,No,56,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,No,One year,No,Credit card (automatic),21.02,1215.28,0
Male,1,Yes,Yes,55,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,58.94,3241.65,0
Female,0,Yes,Yes,14,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),109.35,1534.08,0
Male,0,Yes,No,26,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Electronic check,86.5,2325.86,0
Male,0,No,No,34,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),42.24,1279.93,0
Female,0,Yes,No,36,Yes,Yes,No,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),104.98,3621.37,0
Female,0,No,Yes,3,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.5,182.4,0
Male,0,Yes,Yes,39,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),105.04,4095.99,0
Female,0,Yes,No,11,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),48.49,547.0,0
Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,78.21,4186.37,0
Female,0,Yes,No,49,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),58.49,2919.16,0
Female,0,Yes,No,67,Yes,No phone service,No,No,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),46.03,3158.62,0
Male,0,No,No,54,No,No phone service,No,No internet service,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),108.43,5893.94,0
Male,1,No,Yes,26,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,37.13,944.51,0
Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,Yes,Credit card (automatic),26.65,1696.88,0
Male,0,No,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Mailed check,52.88,1595.06,1
Male,0,No,No,23,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),91.2,2195.34,0
Female,0,No,No,66,Yes,No phone service,No,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),100.36,6675.32,0
Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),119.87,3166.12,0
Female,0,No,No,5,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),48.23,295.05,0
Male,0,Yes,No,34,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.61,2095.58,0
Male,0,No,Yes,58,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,31.96,1978.39,0
Female,0,No,No,13,Yes,No,DSL,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,76.64,926.23,0
Female,0,Yes,No,33,Yes,No phone service,No,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),119.75,3933.63,1
Male,0,No,Yes,9,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),89.49,865.19,1
Male,0,Yes,Yes,50,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),78.71,3940.09,0
Male,1,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),58.02,1883.29,1
Male,0,No,No,24,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),111.36,2705.81,1
Female,0,No,Yes,16,No,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,68.69,1145.33,0
Male,0,No,No,41,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),31.71,1307.15,0
Male,0,No,No,48,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),55.27,2670.53,0
Male,0,No,No,68,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,24.85,1669.1,0
Male,0,Yes,Yes,31,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),38.6,1314.86,0
Female,0,No,No,11,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),19.8,145.74,1
Male,0,Yes,No,60,Yes,Yes,No,No internet service,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.23,3806.81,0
Female,0,Yes,No,45,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),82.72,3723.28,0
Male,1,Yes,Yes,51,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),53.02,2774.34,1
Male,0,Yes,No,7,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,60.88,306.37,0
Female,1,Yes,No,22,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,115.84,2443.66,1
Male,0,No,No,56,Yes,No phone service,No,No internet service,No,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),94.7,5140.18,0
Male,1,No,Yes,60,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,73.17,4392.82,0
Male,0,Yes,No,31,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.02,1368.16,0
Male,0,Yes,Yes,58,Yes,Yes,No,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,109.49,6319.66,0
Female,0,No,Yes,61,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),41.98,2613.69,0
Female,1,Yes,Yes,28,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),51.18,1381.72,0
Male,0,No,No,65,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),110.72,7215.3,0
Female,0,No,No,21,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.01,1488.26,0
Female,0,Yes,Yes,17,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),93.72,1647.01,1
Female,1,No,No,49,Yes,Yes,No,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),78.26,3872.75,0
Male,0,No,No,46,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,84.65,3838.55,0
Female,0,No,Yes,10,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),48.54,471.91,1
Male,0,Yes,No,60,Yes,No phone service,No,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,42.62,2640.7,0
Female,1,No,No,14,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),50.89,743.93,0
Female,0,No,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,33.86,1852.12,0
Male,0,Yes,No,0,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),107.18,52.45,0
Male,0,No,No,58,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.89,2632.85,1
Female,1,No,No,57,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),75.27,4403.39,0
Male,1,Yes,No,56,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),98.78,5613.61,0
Female,0,Yes,No,48,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.95,4724.79,0
Female,0,No,No,34,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),62.72,2145.06,0
Male,0,Yes,No,51,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,66.58,3378.86,1
Male,1,No,No,20,No,Yes,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),119.46,2443.48,0
Male,0,Yes,Yes,56,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,86.81,4831.7,0
Male,0,No,No,40,Yes,No,No,Yes,Yes,Yes,No,Yes,No internet service,Two year,No,Bank transfer (automatic),101.09,4062.45,1
Male,0,No,No,33,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,Yes,One year,No,Bank transfer (automatic),110.06,3701.73,0
Male,0,No,Yes,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),98.33,3494.94,0
Female,0,No,No,41,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,36.89,1463.19,0
Male,0,Yes,No,2,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,75.34,55.13,1
Female,1,Yes,No,10,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),28.39,198.74,1
Female,0,No,No,17,Yes,Yes,No,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),84.6,1291.93,0
Female,0,No,No,8,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,115.45,981.99,1
Female,0,Yes,Yes,32,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,70.3,2394.31,0
Male,0,No,No,48,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Two year,No,Credit card (automatic),62.16,3097.71,0
Female,1,No,No,47,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),21.66,887.93,0
Male,0,Yes,No,34,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,One year,Yes,Electronic check,115.9,3998.59,0
Male,0,Yes,No,62,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,28.51,1881.39,0
Male,0,No,Yes,41,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Credit card (automatic),22.19,873.25,0
Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,43.1,223.62,1
Female,0,Yes,No,55,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,24.68,1196.77,0
Female,0,No,Yes,41,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,64.42,2662.56,0
Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),70.64,3164.36,0
Male,0,Yes,No,41,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,49.88,2061.05,0
Female,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,23.2,803.1,0
Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.38,219.71,1
Female,1,Yes,No,40,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),57.22,2370.76,0
Male,0,Yes,Yes,58,Yes,No,No,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),24.17,1339.21,0
Female,1,Yes,No,22,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,89.22,1871.89,1
Male,0,No,No,44,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.12,1548.8,1
Female,0,Yes,Yes,2,No,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),48.81,76.31,0
Male,0,No,Yes,25,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,No,No internet service,Two year,No,Bank transfer (automatic),58.2,1408.47,0
Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),60.49,1751.11,1
Female,0,Yes,Yes,71,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,18.17,1326.31,0
Male,0,Yes,No,15,Yes,No,No,No,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),29.43,405.45,1
Male,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),106.0,2033.94,0
Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,One year,No,Bank transfer (automatic),18.13,481.4,0
Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No,One year,Yes,Credit card (automatic),69.83,5113.46,0
Male,1,No,Yes,62,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.93,4259.89,1
Female,1,No,Yes,2,Yes,No phone service,No,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),51.98,93.56,1
Male,0,No,No,17,Yes,No phone service,No,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),62.0,1103.53,0
Male,0,No,No,59,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No internet service,One year,Yes,Electronic check,97.62,5666.71,0
Male,0,No,No,4,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,Two year,No,Electronic check,103.8,417.79,0
Female,0,No,Yes,62,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Electronic check,44.56,2774.51,0
Female,0,Yes,No,20,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.89,980.21,0
Male,0,No,No,66,Yes,No phone service,DSL,No,Yes,No,No internet service,No internet service,No,One year,No,Electronic check,42.73,2855.02,1
Male,0,Yes,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,One year,No,Mailed check,66.95,1343.52,0
Male,1,No,No,31,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,87.69,2759.18,0
Female,0,Yes,No,48,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),41.28,2025.59,0
Female,0,No,No,9,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),51.74,232.29,0
Female,1,No,No,40,Yes,No,Fiber optic,Yes,No,No,No,No,No internet service,Month-to-month,No,Electronic check,112.9,4611.22,1
Male,0,Yes,No,36,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22.95,582.39,0
Female,0,No,No,57,Yes,No phone service,No,Yes,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,65.0,3655.72,0
Male,1,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,90.58,6603.79,0
Female,1,No,No,48,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),33.35,1575.42,1
Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,22.83,544.78,0
Male,0,No,No,29,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,32.1,843.4,0
Female,0,No,No,30,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),111.72,3433.75,1
Female,0,Yes,No,59,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,18.94,963.74,0
Male,0,Yes,No,23,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),37.21,946.15,0
Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No,One year,No,Mailed check,21.19,249.87,1
Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),29.28,607.33,1
Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),81.26,34.61,1
Male,0,No,No,7,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),42.65,217.17,0
Male,0,Yes,No,6,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,Month-to-month,No,Electronic check,76.06,525.66,1
Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.2,4437.79,1
Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,One year,No,Mailed check,104.64,5303.75,0
Male,0,Yes,No,50,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.48,891.71,1
Female,0,Yes,No,33,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),105.04,3397.27,0
Female,0,No,Yes,52,Yes,No,DSL,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),81.15,4323.28,0
Female,0,No,No,11,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),34.6,272.59,0
Male,0,No,No,65,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No,One year,No,Bank transfer (automatic),96.84,6422.94,1
Male,0,Yes,No,36,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,105.26,3786.7,0
Male,0,Yes,No,68,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.93,2894.29,0
Female,0,No,Yes,11,Yes,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),111.72,1174.74,0
Male,0,Yes,No,36,No,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,64.35,2252.47,0
