고객ID,나이,성별,지역,서비스,요금제유형,월정액,월시청시간,월평균접속횟수,프로필수,동시접속이용,구독유형,가입기간_개월,등록기기수,오프라인저장,키즈프로필,추가프로필구매,독점콘텐츠시청,부가서비스수,Netflix_사용,Tving_사용,Disney_사용,CS문의횟수_6개월,불만접수건수,만족도점수,결제방법,결제실패경험,할인율,주사용기기기간_개월,주사용기기,이탈여부
OTT00023,61,남성,경북,Netflix,광고형 스탠다드,5431,0.07,30,5,0,연간 구독,28,2,0,0,0,0,0,1,0,0,2,1,2,신용카드,0,0,34,스마트TV,0
OTT00024,47,남성,부산,Disney+,광고형 스탠다드,5874,83.87,27,5,1,월간 구독,51,1,1,0,0,0,1,1,0,1,2,0,3,간편결제,0,0,13,스마트TV,0
OTT00025,55,여성,경기,Tving,프리미엄 4K,17870,174.31,19,3,0,월간 구독,6,2,1,0,1,1,3,1,1,0,1,1,5,신용카드,0,30,7,스마트폰,0
OTT00026,19,여성,서울,Tving,연간 멤버십,12213,166.4,15,2,0,연간 구독,9,1,1,0,1,0,2,0,1,0,1,0,1,신용카드,0,0,6,태블릿,0
OTT00027,38,여성,인천,Netflix,스탠다드 HD,13587,17.78,19,5,0,6개월 구독,22,2,0,1,0,1,2,1,0,0,1,0,1,간편결제,0,0,5,태블릿,0
OTT00028,50,여성,전남,Netflix,연간 멤버십,13403,88.24,31,5,0,연간 구독,23,2,0,1,1,1,3,1,1,0,1,0,3,간편결제,0,10,28,태블릿,0
OTT00029,29,남성,대구,Netflix,스탠다드 HD,13924,56.78,30,5,0,월간 구독,8,2,1,0,0,1,2,1,1,1,0,0,1,신용카드,0,15,4,스마트TV,1
OTT00030,39,여성,전남,Disney+,베이직,9955,80.49,27,1,0,월간 구독,1,1,1,1,0,1,3,1,0,1,2,0,4,간편결제,0,10,19,스마트TV,0
OTT00031,61,남성,인천,Disney+,스탠다드 HD,14487,93.62,19,5,1,월간 구독,7,1,1,0,0,0,1,1,0,1,1,0,1,간편결제,0,0,26,스마트폰,1
OTT00032,42,여성,서울,Netflix,스탠다드 HD,13592,196.3,20,5,0,월간 구독,56,2,0,0,0,0,0,1,1,0,0,0,2,간편결제,0,0,23,스마트TV,1
OTT00033,66,남성,서울,Tving,광고형 스탠다드,5096,8.23,26,4,1,월간 구독,12,3,1,0,1,1,3,1,1,0,0,1,4,간편결제,0,15,18,태블릿,0
OTT00034,44,여성,경기,Netflix,광고형 스탠다드,5491,73.43,17,5,0,연간 구독,39,2,1,1,0,0,2,1,0,0,3,0,5,신용카드,0,5,9,스마트폰,0
OTT00035,59,남성,울산,Netflix,연간 멤버십,12860,66.24,28,2,0,월간 구독,17,4,0,0,0,1,1,1,0,0,1,0,3,간편결제,0,0,24,PC,0
OTT00036,45,남성,전북,Disney+,베이직,9551,16.97,21,5,0,월간 구독,50,1,1,1,0,1,3,1,1,1,1,0,5,정기결제,0,30,22,스마트TV,0
OTT00037,33,여성,경기,Tving,베이직,9619,24.93,30,1,0,월간 구독,16,1,0,1,0,1,2,1,1,0,1,0,4,간편결제,0,15,11,PC,0
OTT00038,32,남성,인천,Netflix,프리미엄 4K,16837,9.73,5,5,1,월간 구독,4,1,0,0,1,1,2,1,0,0,2,0,3,간편결제,0,10,20,스마트폰,1
OTT00039,64,남성,경기,Netflix,연간 멤버십,10963,122.25,13,2,0,6개월 구독,37,2,1,0,0,0,1,1,0,0,1,0,1,신용카드,0,0,8,스마트TV,0
OTT00040,68,남성,경기,Disney+,베이직,9237,105.74,16,5,0,6개월 구독,9,1,1,0,0,1,2,1,1,1,1,0,4,간편결제,0,15,16,스마트폰,0
OTT00041,61,남성,경기,Tving,광고형 스탠다드,5705,47.6,24,5,0,연간 구독,9,2,0,0,0,0,0,1,1,0,0,0,2,간편결제,0,0,10,태블릿,0
OTT00042,72,남성,서울,Tving,베이직,9623,35.83,16,5,0,연간 구독,27,2,1,0,0,1,2,0,1,1,0,1,2,간편결제,0,0,13,PC,0
OTT00043,69,남성,서울,Netflix,베이직,9646,13.26,41,5,0,월간 구독,12,2,0,0,1,0,1,1,1,0,1,0,5,신용카드,0,0,11,스마트폰,0
OTT00044,74,여성,서울,Netflix,연간 멤버십,12221,77.94,7,5,0,6개월 구독,34,2,0,0,0,1,1,1,0,1,0,2,5,휴대폰결제,0,10,11,스마트폰,0
OTT00045,20,남성,서울,Disney+,스탠다드 HD,13442,0.41,30,5,0,월간 구독,23,1,1,0,1,0,2,0,1,1,0,0,4,정기결제,0,20,13,스마트TV,0
OTT00046,54,여성,서울,Tving,스탠다드 HD,13724,31.07,32,5,0,연간 구독,35,1,1,0,0,1,2,1,1,1,1,0,5,간편결제,0,0,28,스마트폰,0
OTT00047,68,여성,광주,Netflix,스탠다드 HD,13457,98.5,24,5,0,월간 구독,40,1,1,1,0,0,2,1,0,0,0,0,4,신용카드,0,0,12,태블릿,0
OTT00048,24,남성,경기,Tving,광고형 스탠다드,5444,48.18,16,1,1,월간 구독,9,4,1,0,0,1,2,1,1,0,0,0,1,간편결제,0,0,16,스마트TV,0
OTT00049,38,여성,제주,Disney+,프리미엄 4K,16644,50.41,19,2,1,월간 구독,43,2,1,1,0,1,3,1,1,1,1,0,2,신용카드,0,10,28,스마트폰,0
OTT00050,26,남성,서울,Netflix,프리미엄 4K,17132,3.67,28,5,0,연간 구독,13,1,1,0,0,1,2,1,0,0,0,0,2,간편결제,0,5,28,스마트TV,0
OTT00051,56,여성,경기,Netflix,스탠다드 HD,13560,16.89,4,4,0,연간 구독,52,1,1,0,0,1,2,1,0,0,0,0,4,휴대폰결제,0,10,19,태블릿,0
OTT00052,35,남성,경기,Tving,베이직,9184,56.02,13,3,0,월간 구독,50,1,0,0,0,0,0,0,1,0,1,0,5,신용카드,0,30,16,스마트TV,0
OTT00053,21,남성,서울,Tving,베이직,8969,2.54,14,4,0,월간 구독,46,2,0,1,0,0,1,0,1,0,0,1,1,간편결제,0,5,32,스마트TV,0
OTT00054,42,여성,전남,Tving,프리미엄 4K,17987,20.09,25,2,0,월간 구독,58,4,0,1,0,1,2,1,1,0,1,0,2,신용카드,0,0,33,스마트폰,1
OTT00055,31,여성,서울,Disney+,연간 멤버십,11464,21.84,30,4,1,월간 구독,57,2,0,0,0,0,0,0,1,1,0,0,5,신용카드,0,20,18,스마트폰,0
OTT00056,67,여성,제주,Netflix,연간 멤버십,11836,34.53,39,1,0,월간 구독,43,2,1,1,1,0,3,1,1,0,2,0,4,신용카드,0,0,22,스마트TV,0
OTT00057,26,남성,경남,Netflix,스탠다드 HD,13853,22.5,1,3,1,월간 구독,2,3,0,0,0,0,0,1,0,0,0,0,4,신용카드,0,5,10,스마트폰,0
OTT00058,43,여성,부산,Disney+,광고형 스탠다드,5524,30.27,9,5,0,월간 구독,47,1,1,0,0,0,1,0,0,1,0,2,3,간편결제,0,30,19,태블릿,0
OTT00059,70,남성,부산,Netflix,베이직,9672,39.59,16,5,1,월간 구독,2,2,1,0,1,0,2,1,0,0,1,0,5,신용카드,0,0,16,스마트폰,1
OTT00060,19,남성,대전,Tving,스탠다드 HD,13683,6.87,25,4,1,월간 구독,29,3,1,0,0,1,2,1,1,0,0,1,5,신용카드,0,5,12,스마트TV,0
OTT00061,37,남성,경기,Tving,스탠다드 HD,14221,9.95,27,1,1,6개월 구독,45,2,0,0,0,0,0,0,1,0,0,0,3,간편결제,0,30,33,스마트TV,0
OTT00062,45,여성,광주,Tving,베이직,9717,89.34,8,5,0,월간 구독,57,1,1,1,0,1,3,1,1,0,1,0,4,휴대폰결제,0,5,12,스마트TV,0
OTT00063,64,남성,서울,Netflix,베이직,9697,30.79,23,5,1,월간 구독,22,1,1,1,0,0,2,1,0,0,2,0,5,간편결제,0,20,16,태블릿,0
OTT00064,24,남성,서울,Disney+,스탠다드 HD,13816,21.94,0,2,0,월간 구독,43,2,1,0,0,0,1,1,0,1,0,1,4,신용카드,0,0,33,스마트폰,0
OTT00065,61,여성,인천,Disney+,광고형 스탠다드,5565,28.45,22,5,0,월간 구독,21,1,1,0,0,0,1,0,0,1,0,0,5,간편결제,0,0,26,스마트폰,0
OTT00066,25,남성,부산,Tving,베이직,9348,9.61,19,4,0,6개월 구독,59,1,1,0,0,0,1,1,1,0,0,0,1,간편결제,0,0,4,스마트폰,0
OTT00067,64,남성,경남,Tving,베이직,9226,13.71,19,5,1,월간 구독,47,1,0,0,0,1,1,0,1,0,0,0,2,휴대폰결제,0,20,27,스마트폰,1
OTT00068,52,남성,서울,Netflix,스탠다드 HD,12792,36.23,16,5,1,월간 구독,6,2,1,1,0,1,3,1,0,0,0,0,5,신용카드,0,0,11,스마트TV,0
OTT00069,31,여성,전남,Netflix,베이직,9632,22.23,19,5,0,월간 구독,47,3,1,1,0,1,3,1,1,0,0,1,3,간편결제,0,15,24,스마트폰,0
OTT00070,34,남성,경기,Netflix,스탠다드 HD,13508,32.26,23,5,0,연간 구독,57,1,0,1,0,1,2,1,0,0,3,0,3,신용카드,0,0,8,스마트TV,0
OTT00071,53,남성,경기,Netflix,베이직,9237,8.11,36,5,0,월간 구독,28,1,0,1,0,1,2,1,1,0,1,0,1,간편결제,0,30,21,태블릿,0
OTT00072,67,여성,경기,Disney+,광고형 스탠다드,5599,8.51,7,5,0,6개월 구독,16,1,0,1,0,0,1,0,1,1,0,1,2,신용카드,0,0,5,스마트TV,1
OTT00073,57,여성,경기,Disney+,광고형 스탠다드,5833,24.22,17,5,1,월간 구독,1,1,1,0,0,0,1,0,1,1,2,0,4,간편결제,0,0,4,스마트TV,0
OTT00074,21,남성,서울,Tving,스탠다드 HD,13476,23.81,25,4,0,월간 구독,23,1,1,0,0,1,2,1,1,0,0,1,1,간편결제,0,15,31,PC,1
OTT00075,19,여성,부산,Tving,베이직,9692,107.42,19,1,0,6개월 구독,8,1,0,1,0,1,2,1,1,0,0,0,2,간편결제,0,5,25,태블릿,1
OTT00076,23,여성,전북,Netflix,연간 멤버십,11429,1.7,21,4,0,6개월 구독,52,4,0,0,0,1,1,1,0,0,0,0,2,간편결제,0,15,24,스마트폰,0
OTT00077,71,여성,인천,Disney+,베이직,9250,247.07,14,4,1,연간 구독,8,2,1,0,0,1,2,0,0,1,1,0,3,간편결제,0,5,23,스마트폰,0
OTT00078,59,남성,인천,Netflix,프리미엄 4K,16678,156.78,28,5,1,연간 구독,42,1,1,1,0,1,3,1,1,0,1,1,4,정기결제,0,5,33,스마트TV,0
OTT00079,21,여성,경북,Netflix,베이직,9372,39.07,0,1,0,연간 구독,1,1,0,0,0,0,0,1,0,0,0,0,2,정기결제,0,5,15,스마트폰,0
OTT00080,71,여성,세종,Tving,프리미엄 4K,16587,63.43,10,3,0,월간 구독,11,1,1,0,0,1,2,0,1,1,0,0,1,휴대폰결제,1,10,18,스마트TV,1
OTT00081,46,남성,인천,Disney+,광고형 스탠다드,5849,136.86,39,4,1,월간 구독,8,1,0,0,1,0,1,0,0,1,3,0,5,간편결제,0,5,18,스마트폰,0
OTT00082,35,남성,경기,Disney+,베이직,8823,14.46,7,1,0,월간 구독,47,2,1,0,0,0,1,0,1,1,1,0,1,간편결제,0,10,1,스마트폰,1
OTT00083,43,남성,경남,Netflix,스탠다드 HD,13031,18.96,11,5,0,연간 구독,51,3,1,0,0,0,1,1,1,0,1,1,3,간편결제,0,0,10,스마트TV,0
OTT00084,61,남성,대구,Disney+,프리미엄 4K,17340,5.88,12,5,0,월간 구독,31,1,1,0,0,1,2,1,0,1,1,0,1,신용카드,0,10,2,스마트폰,0
OTT00085,51,여성,경기,Netflix,스탠다드 HD,14456,41.49,14,4,0,월간 구독,46,1,0,0,0,0,0,1,0,0,0,1,4,간편결제,0,10,6,스마트TV,0
OTT00086,27,남성,경기,Netflix,연간 멤버십,12306,8.68,19,1,0,월간 구독,36,3,1,0,1,0,2,1,0,0,0,0,5,간편결제,0,20,11,스마트TV,0
OTT00087,53,남성,전북,Disney+,프리미엄 4K,16468,133.59,30,4,0,월간 구독,8,1,1,0,0,0,1,0,0,1,1,0,2,간편결제,0,0,19,태블릿,1
OTT00088,31,여성,서울,Disney+,베이직,9673,28.24,24,5,1,월간 구독,24,1,0,0,1,1,2,0,1,1,0,0,4,간편결제,0,0,15,스마트폰,0
OTT00089,48,남성,제주,Tving,연간 멤버십,11094,126.09,17,5,0,6개월 구독,27,1,1,1,0,0,2,0,1,0,1,0,1,간편결제,0,10,30,스마트TV,1
OTT00090,65,여성,서울,Tving,스탠다드 HD,13391,11.48,37,4,0,월간 구독,29,2,0,0,0,0,0,1,1,1,0,0,3,간편결제,0,0,26,스마트폰,0
OTT00091,32,남성,전북,Disney+,베이직,9769,59.21,15,5,0,월간 구독,44,1,0,0,1,1,2,0,0,1,0,0,1,간편결제,0,20,18,스마트TV,0
OTT00092,25,남성,경기,Disney+,베이직,9666,52.15,20,3,0,6개월 구독,18,4,0,0,0,0,0,0,0,1,0,0,2,간편결제,0,10,19,스마트폰,0
OTT00093,31,남성,인천,Disney+,베이직,9792,25.51,21,5,0,월간 구독,9,4,0,1,0,1,2,0,1,1,0,0,1,간편결제,0,10,20,스마트TV,1
OTT00094,40,남성,경남,Tving,스탠다드 HD,13879,114.31,28,3,0,월간 구독,36,3,1,0,0,1,2,1,1,0,1,0,4,신용카드,0,20,16,스마트TV,0
OTT00095,74,남성,경기,Disney+,프리미엄 4K,17079,28.53,8,2,0,월간 구독,38,1,0,0,0,0,0,1,0,1,1,0,5,신용카드,0,5,21,스마트TV,0
OTT00096,57,여성,부산,Disney+,베이직,10135,11.06,9,5,0,월간 구독,14,1,1,1,1,0,3,0,1,1,2,0,4,간편결제,0,20,13,스마트폰,0
OTT00097,38,여성,서울,Netflix,연간 멤버십,11315,188.58,29,5,0,월간 구독,13,3,0,0,0,1,1,1,0,0,1,0,1,간편결제,0,0,32,스마트TV,0
OTT00098,33,남성,서울,Disney+,프리미엄 4K,17113,29.12,37,5,0,월간 구독,40,1,1,0,0,1,2,1,1,1,0,0,2,간편결제,0,0,9,태블릿,0
OTT00099,62,여성,경기,Tving,스탠다드 HD,13647,11.66,16,5,0,연간 구독,52,1,1,0,0,1,2,1,1,0,2,1,3,간편결제,0,15,19,PC,0
OTT00100,35,여성,울산,Netflix,스탠다드 HD,13107,22.6,7,4,0,월간 구독,24,1,0,1,0,1,2,1,1,0,1,0,5,간편결제,0,10,25,스마트폰,0
OTT00101,64,여성,서울,Tving,광고형 스탠다드,5215,47.53,8,2,0,월간 구독,39,1,1,0,0,0,1,1,1,0,0,0,2,간편결제,0,5,12,스마트폰,0
OTT00102,70,남성,서울,Netflix,스탠다드 HD,12552,35.87,30,4,0,월간 구독,14,3,1,0,1,0,2,1,0,0,1,0,1,간편결제,0,5,24,스마트TV,0
OTT00103,41,남성,경기,Tving,광고형 스탠다드,6212,50.41,3,1,0,월간 구독,8,2,0,0,0,1,1,1,1,0,1,0,4,간편결제,0,10,1,스마트폰,0
OTT00104,43,남성,광주,Disney+,프리미엄 4K,17705,54.21,20,5,0,월간 구독,12,3,1,0,0,0,1,0,0,1,2,1,1,정기결제,0,5,27,스마트폰,1
OTT00105,42,여성,강원,Netflix,연간 멤버십,10666,6.58,18,1,0,연간 구독,52,1,0,0,0,0,0,1,0,1,0,1,1,신용카드,0,15,22,스마트폰,0
OTT00106,62,여성,서울,Netflix,베이직,9216,18.91,13,5,0,월간 구독,31,2,1,0,1,0,2,1,0,1,1,0,3,신용카드,0,5,22,스마트TV,0
OTT00107,58,남성,서울,Disney+,베이직,9779,69.06,11,2,0,연간 구독,34,1,0,0,0,0,0,1,0,1,0,0,1,신용카드,0,0,1,스마트TV,0
OTT00108,46,남성,제주,Netflix,스탠다드 HD,13960,52.54,26,5,1,월간 구독,36,1,1,1,0,0,2,1,0,0,0,0,5,간편결제,0,0,18,스마트폰,0
OTT00109,32,여성,경기,Netflix,광고형 스탠다드,5464,4.62,27,5,0,월간 구독,21,2,1,1,0,1,3,1,1,1,2,0,2,휴대폰결제,0,20,35,PC,0
OTT00110,62,여성,경북,Netflix,스탠다드 HD,13703,18.93,31,5,0,연간 구독,4,1,1,1,0,0,2,1,0,1,0,0,2,간편결제,0,10,30,스마트TV,1
OTT00111,18,여성,경북,Tving,프리미엄 4K,18057,133.92,24,4,0,월간 구독,11,2,0,0,1,1,2,1,1,1,2,0,3,휴대폰결제,0,0,20,스마트TV,0
OTT00112,42,여성,충남,Tving,스탠다드 HD,13362,99.03,20,5,0,월간 구독,56,1,0,0,0,0,0,1,1,0,0,1,3,신용카드,0,5,5,스마트TV,1
OTT00113,24,남성,서울,Disney+,광고형 스탠다드,6020,55.53,21,2,0,월간 구독,42,1,0,0,0,0,0,0,1,1,1,0,4,간편결제,0,10,32,스마트폰,0
OTT00114,26,여성,전남,Tving,광고형 스탠다드,5710,3.78,29,1,0,연간 구독,37,1,0,0,0,0,0,0,1,0,1,2,5,신용카드,0,5,24,스마트TV,0
OTT00115,41,여성,충남,Disney+,베이직,9892,46.7,2,5,0,월간 구독,41,2,0,0,1,1,2,1,0,1,2,2,3,신용카드,0,30,8,태블릿,1
OTT00116,18,남성,대구,Tving,베이직,9147,0.61,24,1,0,6개월 구독,7,1,1,0,1,1,3,1,1,0,0,1,3,휴대폰결제,0,5,22,스마트TV,0
OTT00117,61,여성,경기,Netflix,프리미엄 4K,16861,54.11,14,1,1,연간 구독,55,1,1,0,0,1,2,1,0,0,1,0,1,신용카드,0,20,27,스마트TV,0
OTT00118,25,여성,경기,Tving,광고형 스탠다드,5654,65.69,23,5,0,월간 구독,12,1,0,1,0,1,2,0,1,0,0,0,3,신용카드,0,15,27,스마트폰,0
OTT00119,41,남성,서울,Tving,광고형 스탠다드,5000,34.38,9,3,0,6개월 구독,5,1,0,0,0,1,1,0,1,0,1,0,2,정기결제,0,5,26,PC,0
OTT00120,28,여성,부산,Tving,베이직,9278,0.19,28,5,0,월간 구독,3,3,0,0,0,0,0,0,1,0,2,1,3,신용카드,0,0,13,스마트폰,0
OTT00121,68,여성,대구,Netflix,베이직,9353,54.92,25,5,0,월간 구독,32,3,1,0,0,1,2,1,1,0,0,0,3,휴대폰결제,0,30,34,스마트폰,0
OTT00122,34,여성,경기,Netflix,연간 멤버십,11491,85.67,12,4,1,연간 구독,40,3,1,1,0,1,3,1,1,0,0,0,1,신용카드,0,0,22,PC,0
OTT00123,25,남성,인천,Netflix,광고형 스탠다드,5097,44.08,15,3,0,연간 구독,52,1,0,1,0,1,2,1,0,0,2,0,3,신용카드,0,15,31,스마트TV,1
OTT00124,52,남성,경기,Netflix,베이직,9930,61.76,14,5,1,연간 구독,35,1,1,0,0,1,2,1,1,0,1,0,5,신용카드,0,10,10,스마트TV,0
OTT00125,52,여성,광주,Tving,스탠다드 HD,13428,4.73,20,5,0,6개월 구독,36,3,0,1,0,1,2,0,1,1,2,2,3,간편결제,0,5,5,PC,0
OTT00126,50,남성,경남,Netflix,베이직,9473,62.82,40,5,1,월간 구독,12,1,1,0,0,0,1,1,0,0,1,0,5,간편결제,0,30,7,스마트폰,0
OTT00127,22,여성,서울,Disney+,베이직,9729,47.62,1,5,0,월간 구독,30,2,1,0,0,1,2,0,1,1,0,0,3,간편결제,0,0,28,스마트TV,0
OTT00128,59,여성,경기,Netflix,스탠다드 HD,12656,20.1,23,4,0,월간 구독,33,1,1,0,0,0,1,1,1,0,2,1,2,간편결제,0,0,12,스마트폰,1
OTT00129,56,남성,서울,Netflix,스탠다드 HD,13307,57.81,24,3,1,월간 구독,40,3,1,0,0,0,1,1,0,0,1,1,5,간편결제,0,10,8,스마트폰,0
OTT00130,58,남성,광주,Tving,베이직,9018,51.86,14,2,1,6개월 구독,41,1,0,1,1,0,2,1,1,0,1,0,5,신용카드,0,0,34,스마트폰,0
OTT00131,45,남성,강원,Netflix,베이직,9796,45.75,3,5,1,월간 구독,3,2,1,0,0,1,2,1,0,0,1,0,2,휴대폰결제,0,0,11,스마트폰,1
OTT00132,24,남성,제주,Disney+,베이직,8832,10.1,17,5,0,월간 구독,26,3,1,0,0,0,1,1,1,1,1,0,1,간편결제,1,30,21,스마트TV,0
OTT00133,26,여성,경기,Netflix,스탠다드 HD,13535,17.56,7,5,0,월간 구독,38,1,1,1,0,1,3,1,0,0,1,1,1,신용카드,0,0,10,스마트폰,0
OTT00134,25,여성,제주,Netflix,광고형 스탠다드,5762,237.7,25,1,0,월간 구독,52,2,1,0,0,1,2,1,0,1,1,0,2,신용카드,0,5,14,PC,0
OTT00135,29,여성,서울,Disney+,베이직,9494,28.38,6,5,0,6개월 구독,41,1,0,0,0,1,1,1,1,1,1,0,3,신용카드,0,0,14,PC,0
OTT00136,51,여성,대구,Tving,프리미엄 4K,16691,3.06,19,3,0,연간 구독,34,1,0,0,0,0,0,1,1,0,0,0,3,간편결제,0,30,19,스마트TV,0
OTT00137,50,남성,서울,Netflix,스탠다드 HD,13306,114.63,12,1,0,연간 구독,3,1,0,0,0,0,0,1,1,0,1,0,4,신용카드,0,0,25,스마트폰,0
OTT00138,65,여성,경남,Netflix,광고형 스탠다드,5630,9.49,31,1,0,월간 구독,14,1,1,1,0,1,3,1,1,0,0,2,2,간편결제,0,10,26,스마트TV,1
OTT00139,72,여성,부산,Tving,광고형 스탠다드,6102,25.84,35,3,0,6개월 구독,45,1,1,0,0,0,1,0,1,1,1,0,2,간편결제,0,0,31,스마트TV,0
OTT00140,40,여성,대전,Disney+,스탠다드 HD,12933,16.29,16,2,0,월간 구독,46,2,0,1,0,0,1,0,1,1,1,0,4,간편결제,0,0,6,스마트폰,0
OTT00141,41,여성,전남,Disney+,연간 멤버십,12885,166.04,9,5,0,연간 구독,14,2,0,0,0,0,0,0,0,1,0,1,5,신용카드,0,0,32,스마트폰,0
OTT00142,54,남성,서울,Netflix,프리미엄 4K,17279,23.75,36,5,1,연간 구독,17,1,1,0,0,0,1,1,1,0,1,0,1,신용카드,0,20,13,스마트TV,0
OTT00143,52,여성,서울,Disney+,연간 멤버십,11141,61.67,18,4,0,월간 구독,15,1,1,0,0,1,2,1,0,1,1,0,2,간편결제,0,0,35,스마트폰,1
OTT00144,61,남성,경북,Netflix,스탠다드 HD,13566,45.61,23,3,0,6개월 구독,12,1,0,0,0,1,1,1,1,0,0,0,2,간편결제,0,0,27,스마트폰,0
OTT00145,57,남성,경기,Netflix,프리미엄 4K,16707,2.2,18,5,0,월간 구독,39,2,1,0,0,0,1,1,1,0,2,0,4,간편결제,0,5,14,스마트폰,0
OTT00146,39,남성,서울,Disney+,베이직,9522,24.25,17,5,0,월간 구독,41,1,1,0,0,1,2,1,0,1,0,0,1,간편결제,1,0,26,스마트TV,1
OTT00147,44,여성,인천,Netflix,스탠다드 HD,13395,24.72,15,5,0,월간 구독,44,2,1,0,0,1,2,1,1,0,2,0,4,휴대폰결제,0,0,11,스마트TV,0
OTT00148,52,여성,대구,Netflix,베이직,9484,229.43,1,3,0,월간 구독,30,1,1,0,1,1,3,1,0,1,0,0,4,간편결제,0,15,12,스마트TV,0
OTT00149,18,여성,서울,Netflix,광고형 스탠다드,5000,83.55,37,4,0,월간 구독,49,1,1,0,0,0,1,1,1,0,2,1,2,휴대폰결제,1,20,34,스마트TV,0
OTT00150,52,여성,경기,Netflix,광고형 스탠다드,5028,97.12,21,5,1,월간 구독,59,3,1,0,0,0,1,1,0,0,2,0,3,신용카드,0,10,1,스마트폰,0
