나이,성별,지역,서비스,요금제유형,월정액,월시청시간,월평균접속횟수,프로필수,동시접속이용,구독유형,가입기간_개월,등록기기수,오프라인저장,키즈프로필,추가프로필구매,독점콘텐츠시청,부가서비스수,CS문의횟수_6개월,불만접수건수,만족도점수,결제방법,결제실패경험,할인율,주사용기기기간_개월,주사용기기,이탈여부,월평균요금,시청시간비율,고객가치점수,CS민감도
45,0,13,0,1,9551,16.97,21,5,0,2,50,1,1,1,0,1,3,1,1,4,0,0,0,13,1,0,9551.0,0.03485959614634046,110.0,4
33,1,1,2,1,9619,24.93,30,1,0,2,16,1,0,1,0,1,2,0,0,2,1,0,5,13,2,1,9138.05,0.05121094472176003,58.0,0
32,0,11,1,4,16837,9.73,5,5,1,2,4,1,0,0,1,1,2,0,0,5,3,0,0,31,2,0,16837.0,0.019987264024978944,82.0,0
64,0,1,1,3,10963,122.25,13,2,0,0,37,2,1,0,0,0,1,1,0,2,1,0,0,24,1,0,10963.0,0.25112466876193995,53.5,1
68,0,1,0,1,9237,105.74,16,5,0,0,9,1,1,0,0,1,2,1,0,3,0,0,10,15,1,0,8313.300000000001,0.21720999979458103,64.5,1
61,0,1,2,0,5705,47.6,24,5,0,1,9,2,0,0,0,0,0,0,0,1,1,0,5,9,1,1,5419.75,0.0977794211293934,14.5,0
72,0,8,2,1,9623,35.83,16,5,0,1,27,2,1,0,0,1,2,0,1,5,1,0,10,13,1,0,8660.7,0.0736016104845833,93.5,3
69,0,8,1,1,9646,13.26,41,5,0,2,12,2,0,0,1,0,1,1,1,2,1,0,5,25,2,0,9163.699999999999,0.027238553028902445,41.0,4
74,1,8,1,3,12221,77.94,7,5,0,0,34,2,0,0,0,1,1,0,0,4,2,0,0,31,3,0,12221.0,0.16010353115178405,72.0,0
20,0,8,0,2,13442,0.41,30,5,0,2,23,1,1,0,1,0,2,0,0,3,3,0,0,11,1,0,13442.0,0.0008422177030052792,71.5,0
54,1,8,2,2,13724,31.07,32,5,0,1,35,1,1,0,0,1,2,4,0,1,0,0,15,8,1,0,11665.4,0.06382366837164397,57.5,4
68,1,4,1,2,13457,98.5,24,5,0,2,40,1,1,1,0,0,2,1,0,2,1,0,0,17,1,1,13457.0,0.20233766767321953,70.0,1
24,0,1,2,0,5444,48.18,16,1,1,2,9,4,1,0,0,1,2,1,0,1,3,0,5,1,1,0,5171.8,0.09897085105071794,44.5,1
38,1,14,0,4,16644,50.41,19,2,1,2,43,2,1,1,0,1,3,0,0,3,0,0,15,4,1,0,14147.4,0.10355169367925884,96.5,0
26,0,8,1,4,17132,3.67,28,5,0,1,13,1,1,0,0,1,2,0,1,1,3,0,0,1,1,1,17132.0,0.007538875536657012,46.5,3
56,1,1,1,2,13560,16.89,4,4,0,1,52,1,1,0,0,1,2,2,0,1,3,0,15,21,3,0,11526.0,0.03469526098477846,66.0,2
35,0,1,2,1,9184,56.02,13,3,0,2,50,1,0,0,0,0,0,0,0,4,1,0,0,1,1,1,9184.0,0.1150756968837945,65.0,0
21,0,8,2,1,8969,2.54,14,4,0,2,46,2,0,1,0,0,1,2,0,2,3,0,0,1,3,0,8969.0,0.005217641379593681,58.0,2
42,1,12,2,4,17987,20.09,25,2,0,2,58,4,0,1,0,1,2,3,1,2,1,1,0,24,3,1,17987.0,0.04126866744725868,79.0,6
31,1,8,0,3,11464,21.84,30,4,1,2,57,2,0,0,0,0,0,1,0,2,1,0,15,20,1,0,9744.4,0.044863499106427555,48.5,1
67,1,14,1,3,11836,34.53,39,1,0,2,43,2,1,1,1,0,3,1,0,2,0,0,10,27,2,0,10652.4,0.07093116410920072,86.5,1
26,0,2,1,2,13853,22.5,1,3,1,2,2,3,0,0,0,0,0,0,0,2,1,0,15,11,2,0,11775.05,0.04621926418931411,21.0,0
43,1,7,0,0,5524,30.27,9,5,0,2,47,1,1,0,0,0,1,0,0,3,1,0,0,29,3,1,5524.0,0.06218031675602391,68.5,0
70,0,7,1,1,9672,39.59,16,5,1,2,2,2,1,0,1,0,2,2,0,3,1,0,30,12,1,0,6770.4,0.08132536307799758,61.0,2
19,0,6,2,2,13683,6.87,25,4,1,2,29,3,1,0,0,1,2,1,0,4,1,0,0,24,2,0,13683.0,0.01411228199913724,84.5,1
37,0,1,2,2,14221,9.95,27,1,1,0,45,2,0,0,0,0,0,1,0,1,3,0,0,3,1,0,14221.0,0.020439185719274458,32.5,1
45,1,4,2,1,9717,89.34,8,5,0,2,57,1,1,1,0,1,3,1,2,3,2,0,0,14,0,1,9717.0,0.1835212916743699,103.5,7
64,0,8,1,1,9697,30.79,23,5,1,2,22,1,1,1,0,0,2,0,0,4,1,0,5,31,2,0,9212.15,0.06324849530617695,81.0,0
24,0,8,0,2,13816,21.94,0,2,0,2,43,2,1,0,0,0,1,1,0,3,0,0,15,0,2,0,11743.6,0.04506891805838007,66.5,1
61,1,11,0,0,5565,28.45,22,5,0,2,21,1,1,0,0,0,1,2,1,4,3,0,10,27,3,0,5008.5,0.05844169183048828,65.5,5
25,0,7,2,1,9348,9.61,19,4,0,0,59,1,1,0,0,0,1,2,1,2,1,0,20,21,2,0,7478.400000000001,0.019740761282635935,64.5,5
64,0,2,2,1,9226,13.71,19,5,1,2,47,1,0,0,0,1,1,0,0,1,1,0,5,30,1,1,8764.699999999999,0.02816293831268873,48.5,0
52,0,8,1,2,12792,36.23,16,5,1,2,6,2,1,1,0,1,3,3,0,5,0,0,0,30,2,1,12792.0,0.07442328629239332,98.0,3
31,1,12,1,1,9632,22.23,19,5,0,2,47,3,1,1,0,1,3,0,1,3,1,1,5,7,1,0,9150.4,0.04566463301904234,98.5,3
34,0,1,1,2,13508,32.26,23,5,0,1,57,1,0,1,0,1,2,3,0,1,0,0,15,31,1,0,11481.8,0.06626815389987879,68.5,3
53,0,1,1,1,9237,8.11,36,5,0,2,28,1,0,1,0,1,2,0,0,5,0,0,5,27,0,0,8775.15,0.016659477003348327,94.0,0
67,1,1,0,0,5599,8.51,7,5,0,0,16,1,0,1,0,0,1,0,0,4,1,1,0,12,1,0,5599.0,0.017481152811158356,63.0,0
57,1,1,0,0,5833,24.22,17,5,1,2,1,1,1,0,0,0,1,1,0,1,1,0,10,34,2,1,5249.7,0.049752470162897224,25.5,1
21,0,8,2,2,13476,23.81,25,4,0,2,23,1,1,0,0,1,2,4,0,3,0,0,10,14,1,0,12128.4,0.048910252459891945,71.5,4
19,1,7,2,1,9692,107.42,19,1,0,0,8,1,0,1,0,1,2,0,0,3,1,0,15,12,1,0,8238.199999999999,0.22066103818738317,64.0,0
23,1,13,1,3,11429,1.7,21,4,0,0,52,4,0,0,0,1,1,2,0,3,1,0,0,28,2,0,11429.0,0.003492122183192621,71.0,2
71,1,11,0,1,9250,247.07,14,4,1,1,8,2,1,0,0,1,2,0,0,2,1,0,10,29,1,0,8325.0,0.5075286045890594,54.0,0
59,0,11,1,4,16678,156.78,28,5,1,1,42,1,1,1,0,1,3,0,1,3,0,0,10,23,1,0,15010.2,0.3220558328711407,96.0,3
21,1,3,1,1,9372,39.07,0,1,0,1,1,1,0,0,0,0,0,1,0,3,3,0,0,14,1,1,9372.0,0.08025718452784454,30.5,1
71,1,9,2,4,16587,63.43,10,3,0,2,11,1,1,0,0,1,2,1,0,3,0,0,5,30,0,0,15757.65,0.13029724122347527,65.5,1
46,0,11,0,0,5849,136.86,39,4,1,2,8,1,0,0,1,0,1,0,0,3,1,0,5,24,2,0,5556.55,0.2811363776422013,49.0,0
35,0,1,0,1,8823,14.46,7,1,0,2,47,2,1,0,0,0,1,1,0,3,0,0,10,18,2,0,7940.7,0.029703580452332533,68.5,1
43,0,2,1,2,13031,18.96,11,5,0,1,51,3,1,0,0,0,1,0,0,4,1,0,0,8,1,0,13031.0,0.03894743329019536,80.5,0
61,0,5,0,4,17340,5.88,12,5,0,2,31,1,1,0,0,1,2,1,0,3,1,0,0,1,1,0,17340.0,0.012078634374807419,75.5,1
51,1,1,1,2,14456,41.49,14,4,0,2,46,1,0,0,0,0,0,0,0,2,1,0,0,9,1,0,14456.0,0.08522832316509521,43.0,0
27,0,1,1,3,12306,8.68,19,1,0,2,36,3,1,0,1,0,2,1,1,3,2,0,5,13,1,0,11690.699999999999,0.01783036502947762,78.0,4
53,0,13,0,4,16468,133.59,30,4,0,2,8,1,1,0,0,0,1,1,0,4,1,0,10,1,2,0,14821.2,0.2744191779133543,59.0,1
31,1,8,0,1,9673,28.24,24,5,1,2,24,1,0,0,1,1,2,3,0,2,1,0,20,34,1,0,7738.400000000001,0.05801031203138801,62.0,3
48,0,14,2,3,11094,126.09,17,5,0,0,27,1,1,1,0,0,2,0,0,4,0,0,20,10,1,0,8875.2,0.25901275651691624,83.5,0
65,1,8,2,2,13391,11.48,37,4,0,2,29,2,0,0,0,0,0,0,1,5,0,0,5,21,3,0,12721.449999999999,0.02358209568414782,64.5,3
32,0,13,0,1,9769,59.21,15,5,0,2,44,1,0,0,1,1,2,2,1,1,1,0,20,8,2,1,7815.200000000001,0.12162856145107948,62.0,5
25,0,1,0,1,9666,52.15,20,3,0,0,18,4,0,0,0,0,0,1,0,5,0,0,0,5,2,0,9666.0,0.10712598344323247,59.0,1
31,0,11,0,1,9792,25.51,21,5,0,2,9,4,0,1,0,1,2,1,0,5,1,0,5,12,1,0,9302.4,0.05240237464308457,84.5,1
40,0,2,2,2,13879,114.31,28,3,0,2,36,3,1,0,0,1,2,2,0,2,0,0,0,32,1,0,13879.0,0.23481440397691092,68.0,2
74,0,1,0,4,17079,28.53,8,2,0,2,38,1,0,0,0,0,0,2,1,1,0,0,0,34,3,0,17079.0,0.05860602699205029,29.0,5
57,1,7,0,1,10135,11.06,9,5,0,2,14,1,1,1,1,0,3,0,1,1,0,0,10,4,1,0,9121.5,0.02271933608594729,62.0,3
38,1,8,1,3,11315,188.58,29,5,0,2,13,3,0,0,0,1,1,1,0,5,0,0,0,34,1,0,11315.0,0.387379059592038,71.5,1
33,0,8,0,4,17113,29.12,37,5,0,2,40,1,1,0,0,1,2,0,0,1,1,0,5,35,1,0,16257.349999999999,0.05981799880857008,60.0,0
62,1,1,2,2,13647,11.66,16,5,0,1,52,1,1,0,0,1,2,1,0,5,1,0,0,7,1,0,13647.0,0.023951849797662333,106.0,1
35,1,10,1,2,13107,22.6,7,4,0,2,24,1,0,1,0,1,2,1,0,1,0,0,0,19,2,0,13107.0,0.04642468314126662,52.0,1
64,1,8,2,0,5215,47.53,8,2,0,2,39,1,1,0,0,0,1,2,0,4,0,0,0,17,0,0,5215.0,0.09763562786302664,74.5,2
70,0,8,1,2,12552,35.87,30,4,0,2,14,3,1,0,1,0,2,1,0,4,1,0,0,9,2,0,12552.0,0.0736837780653643,77.0,1
41,0,1,2,0,6212,50.41,3,1,0,2,8,2,0,0,0,1,1,2,0,5,0,0,0,27,0,0,6212.0,0.10355169367925884,69.0,2
43,0,4,0,4,17705,54.21,20,5,0,2,12,3,1,0,0,0,1,0,1,3,0,0,10,1,2,0,15934.5,0.11135761385345412,51.0,3
42,1,0,1,3,10666,6.58,18,1,0,1,52,1,0,0,0,0,0,2,0,5,0,0,0,24,2,0,10666.0,0.01351656703847497,76.0,2
62,1,8,1,1,9216,18.91,13,5,0,2,31,2,1,0,1,0,2,0,0,4,0,0,5,0,2,0,8755.199999999999,0.0388447238142191,85.5,0
58,0,8,0,1,9779,69.06,11,2,0,1,34,1,0,0,0,0,0,0,0,2,1,0,0,26,2,0,9779.0,0.14186232821840145,37.0,0
46,0,14,1,2,13960,52.54,26,5,1,2,36,1,1,1,0,0,2,0,0,3,1,0,20,6,2,1,11168.0,0.10792711735584724,78.0,0
32,1,1,1,0,5464,4.62,27,5,0,2,21,2,1,1,0,1,3,0,1,1,0,0,10,33,2,0,4917.6,0.00949035558020583,65.5,3
62,1,3,1,2,13703,18.93,31,5,0,1,4,1,1,1,0,0,2,1,0,2,0,0,10,9,3,0,12332.7,0.0388858076046096,52.0,1
18,1,3,2,4,18057,133.92,24,4,0,2,11,2,0,0,1,1,2,3,0,2,1,0,10,35,1,1,16251.300000000001,0.27509706045479754,55.5,3
42,1,15,2,2,13362,99.03,20,5,0,2,56,1,0,0,0,0,0,1,1,1,1,0,5,34,2,1,12693.9,0.2034263881185678,38.0,4
24,0,8,0,0,6020,55.53,21,2,0,2,42,1,0,0,0,0,0,2,0,5,0,0,0,9,2,0,6020.0,0.11406914401922721,71.0,2
26,1,12,2,0,5710,3.78,29,1,0,1,37,1,0,0,0,0,0,1,1,4,0,0,5,15,3,0,5424.5,0.007764836383804769,58.5,4
41,1,15,0,1,9892,46.7,2,5,0,2,41,2,0,0,1,1,2,0,0,3,1,0,10,19,3,0,8902.800000000001,0.09593065056182083,80.5,0
18,0,5,2,1,9147,0.61,24,1,0,0,7,1,1,0,1,1,3,1,0,4,1,0,30,33,2,0,6402.9,0.0012530556069102936,88.5,1
61,1,1,1,4,16861,54.11,14,1,1,1,55,1,1,0,0,1,2,2,1,3,0,0,0,9,2,0,16861.0,0.1111521949015016,87.5,5
25,1,1,2,0,5654,65.69,23,5,0,2,12,1,0,1,0,1,2,0,0,4,2,0,10,8,2,0,5088.6,0.13493970953760193,76.0,0
41,0,8,2,0,5000,34.38,9,3,0,0,5,1,0,0,0,1,1,1,1,4,0,0,30,23,0,0,3500.0,0.07062303568127196,57.5,4
28,1,7,2,1,9278,0.19,28,5,0,2,3,3,0,0,0,0,0,1,2,5,2,0,5,4,2,1,8814.1,0.0003902960087097636,51.5,7
68,1,5,1,1,9353,54.92,25,5,0,2,32,3,1,0,0,1,2,0,0,5,1,0,15,4,3,0,7950.05,0.11281608841231693,96.0,0
34,1,1,1,3,11491,85.67,12,4,1,1,40,3,1,1,0,1,3,2,0,1,0,0,5,12,1,0,10916.449999999999,0.17598241613771287,75.0,2
25,0,11,1,0,5097,44.08,15,3,0,1,52,1,0,1,0,1,2,0,0,2,3,0,5,5,1,0,4842.15,0.09054867402066515,76.0,0
52,0,1,1,1,9930,61.76,14,5,1,1,35,1,1,0,0,1,2,1,0,5,0,0,10,27,2,0,8937.0,0.1268667447258684,97.5,1
52,1,4,2,2,13428,4.73,20,5,0,0,36,3,0,1,0,1,2,1,1,3,0,0,20,4,2,0,10742.400000000001,0.00971631642735359,78.0,4
50,0,2,1,1,9473,62.82,40,5,1,2,12,1,1,0,0,0,1,0,1,3,0,0,15,1,2,0,8052.05,0.12904418561656497,51.0,3
22,1,8,0,1,9729,47.62,1,5,0,2,30,2,1,0,0,1,2,1,0,4,0,0,20,27,2,0,7783.200000000001,0.09782050491978389,85.0,1
59,1,1,1,2,12656,20.1,23,4,0,2,33,1,1,0,0,0,1,2,0,2,0,0,30,18,1,0,8859.199999999999,0.04128920934245394,51.5,2
56,0,8,1,2,13307,57.81,24,3,1,2,40,3,1,0,0,0,1,0,0,4,0,0,10,3,1,0,11976.300000000001,0.11875269612374438,75.0,0
58,0,4,2,1,9018,51.86,14,2,1,0,41,1,0,1,1,0,2,1,0,2,0,0,15,27,2,0,7665.3,0.1065302684825702,70.5,1
45,0,0,1,1,9796,45.75,3,5,1,2,3,2,1,0,0,1,2,1,2,4,3,0,0,25,2,0,9796.0,0.09397917051827201,71.5,7
24,0,14,0,1,8832,10.1,17,5,0,2,26,3,1,0,0,0,1,2,0,2,0,0,0,21,1,0,8832.0,0.02074731414720322,48.0,2
26,1,1,1,2,13535,17.56,7,5,0,2,38,1,1,1,0,1,3,2,0,5,2,0,0,21,0,0,13535.0,0.03607156796286025,114.0,2
25,1,14,1,0,5762,237.7,25,1,0,2,52,2,1,0,0,1,2,0,0,5,0,0,0,17,1,0,5762.0,0.48828084879110945,106.0,0
29,1,8,0,1,9494,28.38,6,5,0,0,41,1,0,0,0,1,1,5,1,5,1,1,5,9,2,0,9019.3,0.05829789856412152,85.5,8
51,1,5,2,4,16691,3.06,19,3,0,1,34,1,0,0,0,0,0,0,2,5,1,0,0,35,2,0,16691.0,0.006285819929746719,67.0,6
50,0,8,1,2,13306,114.63,12,1,0,1,3,1,0,0,0,0,0,1,0,1,0,0,5,8,2,1,12640.699999999999,0.23547174462315892,11.5,1
65,1,2,1,0,5630,9.49,31,1,0,2,14,1,1,1,0,1,3,1,0,3,0,0,15,21,1,1,4785.5,0.01949425854029293,82.0,1
72,1,7,2,0,6102,25.84,35,3,0,0,45,1,1,0,0,0,1,4,0,5,1,0,0,21,1,0,6102.0,0.05308025718452784,87.5,4
40,1,6,0,2,12933,16.29,16,2,0,2,46,2,0,1,0,0,1,0,1,5,1,0,0,25,1,0,12933.0,0.03346274727306341,88.0,3
41,1,12,0,3,12885,166.04,9,5,0,1,14,2,0,0,0,0,0,1,1,1,0,0,0,1,2,1,12885.0,0.34107762782194284,17.0,4
54,0,8,1,4,17279,23.75,36,5,1,1,17,1,1,0,0,0,1,1,2,3,0,0,5,5,3,1,16415.05,0.048787001088720444,53.5,7
52,1,8,0,3,11141,61.67,18,4,0,2,15,1,1,0,0,1,2,0,1,4,3,0,5,13,2,0,10583.949999999999,0.12668186766911116,77.5,3
61,0,3,1,2,13566,45.61,23,3,0,0,12,1,0,0,0,1,1,2,0,3,2,0,0,24,2,0,13566.0,0.0936915839855385,51.0,2
57,0,1,1,4,16707,2.2,18,5,0,2,39,2,1,0,0,0,1,0,0,2,1,0,10,25,0,0,15036.300000000001,0.004519216942955157,54.5,0
39,0,8,0,1,9522,24.25,17,5,0,2,41,1,1,0,0,1,2,3,0,4,1,1,10,18,3,0,8569.800000000001,0.04981409584848298,90.5,3
44,1,11,1,2,13395,24.72,15,5,0,2,44,2,1,0,0,1,2,1,0,4,0,0,0,33,2,0,13395.0,0.05077956492265976,92.0,1
52,1,5,1,1,9484,229.43,1,3,0,2,30,1,1,0,1,1,3,0,0,2,0,0,0,5,3,0,9484.0,0.47129270146463714,80.0,0
18,1,8,1,0,5000,83.55,37,4,0,2,49,1,1,0,0,0,1,1,0,5,0,0,5,1,1,0,4750.0,0.1716275343563197,89.5,1
52,1,1,1,0,5028,97.12,21,5,1,2,59,3,1,0,0,0,1,3,2,3,3,1,20,19,0,1,4022.4,0.19950288613627495,74.5,9
54,1,8,2,1,9960,18.81,19,1,0,2,51,2,1,0,1,1,3,1,0,2,1,0,10,4,0,0,8964.0,0.03863930486226659,90.5,1
64,1,1,2,1,9089,19.95,29,3,1,1,7,2,1,1,0,1,3,1,2,3,1,0,5,26,2,0,8634.55,0.040981080914525174,78.5,7
31,0,2,1,4,16085,36.24,14,2,0,2,48,1,1,0,0,1,2,1,0,4,0,0,0,14,0,0,16085.0,0.07444382818758859,94.0,1
20,0,14,2,4,17115,49.85,23,1,1,0,35,2,0,0,1,0,1,2,1,4,0,0,0,35,1,0,17115.0,0.1024013475483248,72.5,5
18,0,4,0,1,9589,65.15,12,5,1,1,51,2,1,0,0,1,2,2,0,5,3,0,15,8,1,0,8150.65,0.13383044719705842,105.5,2
22,1,8,0,4,17215,85.96,16,5,0,1,51,1,1,0,1,1,3,0,0,5,0,0,0,25,2,0,17215.0,0.1765781310983751,120.5,0
43,1,2,1,0,5959,103.26,25,5,0,2,52,1,1,0,0,0,1,0,0,2,0,0,30,6,3,1,4171.3,0.21211560978615887,61.0,0
72,0,7,0,1,9711,1.25,22,4,0,1,31,1,1,0,1,1,3,2,1,3,1,0,0,24,1,0,9711.0,0.002567736899406339,90.5,5
31,0,8,2,2,13489,79.51,16,5,1,0,52,1,0,1,0,0,1,1,1,5,1,0,20,27,0,0,10791.2,0.16332860869743843,91.0,4
56,1,2,1,1,9408,47.19,27,5,0,2,40,1,0,1,0,0,1,0,0,3,1,0,0,0,2,1,9408.0,0.09693720342638812,65.0,0
44,0,15,1,2,13409,37.97,12,4,0,2,37,4,1,1,0,0,2,0,0,1,0,0,20,3,0,0,10727.2,0.07799757605636695,58.5,0
26,1,16,1,1,9429,49.51,10,5,0,0,14,2,0,1,0,0,1,1,0,2,0,0,5,27,1,0,8957.55,0.10170292311168629,42.0,1
32,1,9,2,0,6248,106.83,15,4,0,2,51,2,0,0,1,0,1,0,1,3,1,0,0,10,3,0,6248.0,0.21944906637086337,70.5,3
32,0,1,1,1,9396,39.4,17,5,0,1,58,2,1,1,0,1,3,0,0,5,0,0,0,23,2,0,9396.0,0.08093506706928781,124.0,0
43,0,1,2,4,16720,8.85,16,3,1,2,28,3,1,0,0,0,1,4,0,5,1,0,0,32,0,0,16720.0,0.018179577247796883,79.0,4
59,1,10,1,0,5528,28.7,15,1,0,0,53,1,1,0,0,0,1,1,0,3,1,0,20,9,1,0,4422.400000000001,0.05895523921036955,71.5,1
30,1,1,0,2,13956,129.15,29,1,0,0,12,1,0,0,0,0,0,2,0,4,0,0,0,12,0,1,13956.0,0.265298576446663,46.0,2
68,1,1,1,0,5609,84.23,35,1,0,2,41,2,0,1,1,1,3,2,1,1,0,0,30,1,2,0,3926.2999999999997,0.17302438322959676,75.5,5
49,1,13,0,1,9533,11.35,18,5,0,1,6,1,1,1,0,1,3,1,2,2,0,0,15,33,0,1,8103.05,0.02331505104660956,68.0,7
56,0,13,0,1,10064,62.61,25,5,0,0,4,3,1,1,0,1,3,1,0,3,1,0,10,8,1,0,9057.6,0.1286128058174647,77.0,1
66,0,11,1,0,5409,14.8,12,2,0,0,33,3,1,1,1,1,4,1,0,5,0,0,10,0,3,0,4868.1,0.030402004888971056,126.5,1
69,1,13,2,0,5000,21.43,19,1,0,0,56,4,0,0,0,1,1,2,0,2,0,0,20,34,2,0,4000.0,0.04402128140342228,63.0,2
49,1,12,1,4,16632,31.64,24,2,1,2,5,2,1,1,0,1,3,0,0,3,0,0,0,3,0,1,16632.0,0.06499455639777325,77.5,0
21,0,6,0,2,13665,29.07,11,5,0,2,9,2,0,0,0,1,1,1,0,5,1,0,20,26,1,0,10932.0,0.059715289332593825,69.5,1
47,1,1,2,0,5655,1.49,27,2,1,2,39,2,1,0,0,0,1,1,0,1,1,0,5,28,2,0,5372.25,0.0030607423840923564,44.5,1
